[2026-06-09 18:12:34] GET /api/report-metadata - Total: 2.17ms, DB Conn: 0.85ms, DB Query: 0.39ms
[2026-06-09 18:12:34] GET /api/metrics/summary - Total: 3.36ms, DB Conn: 0.76ms, DB Query: 0.75ms
[2026-06-09 18:12:34] GET /api/metrics/table - Total: 2.96ms, DB Conn: 1.04ms, DB Query: 0.80ms
[2026-06-09 18:12:35] GET /api/metrics/charts - Total: 5.38ms, DB Conn: 0.69ms, DB Query: 2.56ms
[2026-06-09 18:12:52] GET /api/metrics/table - Total: 3.92ms, DB Conn: 1.53ms, DB Query: 1.00ms
[2026-06-09 18:12:52] GET /api/filters - Total: 3.65ms, DB Conn: 1.16ms, DB Query: 0.56ms
[2026-06-09 18:12:52] GET /api/metrics/summary - Total: 3.34ms, DB Conn: 1.59ms, DB Query: 0.99ms
[2026-06-09 18:12:52] GET /api/metrics/charts - Total: 6.18ms, DB Conn: 1.92ms, DB Query: 3.21ms
[2026-06-09 18:12:52] GET /api/report-metadata - Total: 7.70ms, DB Conn: 1.62ms, DB Query: 0.41ms
[2026-06-09 18:12:52] GET /api/filters - Total: 2.28ms, DB Conn: 0.91ms, DB Query: 0.52ms
[2026-06-09 18:12:52] GET /api/metrics/summary - Total: 3.09ms, DB Conn: 0.79ms, DB Query: 0.73ms
[2026-06-09 18:12:52] GET /api/metrics/table - Total: 2.88ms, DB Conn: 0.82ms, DB Query: 0.73ms
[2026-06-09 18:12:52] GET /api/metrics/charts - Total: 5.46ms, DB Conn: 1.00ms, DB Query: 2.99ms
[2026-06-09 18:12:52] GET /api/report-metadata - Total: 3.13ms, DB Conn: 0.81ms, DB Query: 0.33ms
[2026-06-09 18:15:06] OPTIONS /api/upload - Total: 0.00ms, DB Conn: 1.14ms, DB Query: 0.00ms
[2026-06-09 18:15:08] POST /api/upload - Total: 2064.52ms, DB Conn: 0.74ms, DB Query: 174.32ms
[2026-06-09 18:15:08] GET /api/report-metadata - Total: 3.54ms, DB Conn: 0.93ms, DB Query: 0.86ms
[2026-06-09 18:15:08] GET /api/filters - Total: 8.06ms, DB Conn: 0.84ms, DB Query: 0.83ms
